capture_id,source_path,trip_id,entity_id,station,category,timestamp,reason
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965152,1965152,EMBR,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965276,1965276,SFIA,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965195,1965195,EMBR,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965696,1965696,NBRK,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965659,1965659,RICH,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965697,1965697,WOAK,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965698,1965698,BALB,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965699,1965699,SFIA,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965654,1965654,SSAN,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965700,1965700,MLBR,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
