capture_id,source_path,feed_timestamp,entity_id,trip_id,route_id,schedule_relationship,start_date,start_time,stop_time_update_count,missing_stop_sequence_count,first_stop_id,last_stop_id,first_station,last_station,origin_event_time,is_numeric_600_799_entity,is_numeric_600_799_trip,has_route_id,static_trip_exists,static_line,static_terminal,ends_before_static_terminal,has_partial_stop_list,origin_prediction_stale,duplicate_trip_id_in_feed
bart_live_20260913_201652,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_201652\trip_updates.pb,2026-09-14T03:16:52+00:00,707,707,,SCHEDULED,,,1,1,E30-2,E30-2,ANTC,ANTC,2026-09-14T04:48:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_terminals_20260911_183436,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_terminals_20260911_183436\trip_updates.pb,2026-09-12T01:34:55+00:00,690,690,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-12T01:46:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_terminals_20260911_183436,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_terminals_20260911_183436\trip_updates.pb,2026-09-12T01:34:55+00:00,692,692,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-12T02:06:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_terminals_20260911_183436,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_terminals_20260911_183436\trip_updates.pb,2026-09-12T01:34:55+00:00,694,694,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-12T02:26:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_terminals_20260911_183436,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_terminals_20260911_183436\trip_updates.pb,2026-09-12T01:34:55+00:00,695,695,,SCHEDULED,,,1,1,E20-2,E20-2,PCTR,PCTR,2026-09-12T01:35:32+00:00,True,True,False,False,,,False,False,False,False
bart_live_terminals_20260911_183436,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_terminals_20260911_183436\trip_updates.pb,2026-09-12T01:34:55+00:00,696,696,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-12T02:46:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_terminals_20260911_183436,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_terminals_20260911_183436\trip_updates.pb,2026-09-12T01:34:55+00:00,697,697,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T01:48:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_terminals_20260911_183436,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_terminals_20260911_183436\trip_updates.pb,2026-09-12T01:34:55+00:00,699,699,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T02:08:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_terminals_20260911_183436,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_terminals_20260911_183436\trip_updates.pb,2026-09-12T01:34:55+00:00,701,701,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T02:28:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_terminals_20260911_183436,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_terminals_20260911_183436\trip_updates.pb,2026-09-12T01:34:55+00:00,703,703,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T02:48:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_terminals_20260911_183436,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_terminals_20260911_183436\trip_updates.pb,2026-09-12T01:34:55+00:00,705,705,,SCHEDULED,,,1,1,E30-2,E30-2,ANTC,ANTC,2026-09-12T03:08:03+00:00,True,True,False,False,,,False,False,False,False
