capture_id,service_date,service_date_source,service_date_conflict,source_path,feed_timestamp,entity_id,trip_id,route_id,schedule_relationship,start_date,start_time,stop_time_update_count,missing_stop_sequence_count,first_stop_id,last_stop_id,first_station,last_station,origin_event_time,is_numeric_600_799_entity,is_numeric_600_799_trip,has_route_id,static_trip_exists,static_line,static_terminal,ends_before_static_terminal,has_partial_stop_list,origin_prediction_stale,duplicate_trip_id_in_feed,association_status,association_confidence,association_method,association_evidence,candidate_trip_ids,candidate_entity_ids,rejected_candidate_ids,static_identity_status,counterpart_status
bart_live_20260912_071605,2026-09-12,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,621,621,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T14:28:03+00:00,True,True,False,False,,,False,False,False,False,operational_telemetry,medium,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],"[""2000492"",""2000426"",""2000493"",""2000494"",""2000495"",""2000496"",""2000497""]",[],no_static_counterpart,observed_candidate
bart_live_20260912_071605,2026-09-12,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,622,622,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-12T15:26:29+00:00,True,True,False,False,,,False,False,False,False,required_counterpart_not_observed,low,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],[],[],no_static_counterpart,required_not_observed
bart_live_20260912_071605,2026-09-12,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,623,623,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T14:48:03+00:00,True,True,False,False,,,False,False,False,False,operational_telemetry,medium,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],"[""2000427"",""2000498""]",[],no_static_counterpart,observed_candidate
bart_live_20260912_071605,2026-09-12,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,625,625,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T15:08:03+00:00,True,True,False,False,,,False,False,False,False,required_counterpart_not_observed,low,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],[],[],no_static_counterpart,required_not_observed
bart_live_20260912_071605,2026-09-12,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,627,627,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T15:28:03+00:00,True,True,False,False,,,False,False,False,False,required_counterpart_not_observed,low,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],[],[],no_static_counterpart,required_not_observed
bart_live_20260912_071605,2026-09-12,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,629,629,,SCHEDULED,,,1,1,E30-2,E30-2,ANTC,ANTC,2026-09-12T15:48:03+00:00,True,True,False,False,,,False,False,False,False,required_counterpart_not_observed,low,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],[],[],no_static_counterpart,required_not_observed
bart_live_20260912_192815,2026-09-12,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\trip_updates.pb,2026-09-13T02:28:14+00:00,690,690,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-13T02:46:29+00:00,True,True,False,False,,,False,False,False,False,operational_telemetry,medium,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],"[""2000534"",""2000461""]",[],no_static_counterpart,observed_candidate
bart_live_20260912_192815,2026-09-12,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\trip_updates.pb,2026-09-13T02:28:14+00:00,692,692,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-13T03:06:29+00:00,True,True,False,False,,,False,False,False,False,operational_telemetry,medium,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],"[""2000535"",""2000462""]",[],no_static_counterpart,observed_candidate
bart_live_20260912_192815,2026-09-12,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\trip_updates.pb,2026-09-13T02:28:14+00:00,693,693,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-13T02:28:03+00:00,True,True,False,False,,,False,False,False,False,operational_telemetry,medium,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],"[""2000531"",""2000532"",""2000533"",""2000529"",""2000530""]",[],no_static_counterpart,observed_candidate
bart_live_20260912_192815,2026-09-12,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\trip_updates.pb,2026-09-13T02:28:14+00:00,694,694,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-13T03:26:29+00:00,True,True,False,False,,,False,False,False,False,required_counterpart_not_observed,low,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],[],[],no_static_counterpart,required_not_observed
