capture_id,trip_id,entity_id,selected,selected_entity_id,duplicate_count,decision
bart_live_20260911_185819,1965570,1965570,True,1965570,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965571,1965571,True,1965571,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965572,1965572,True,1965572,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965573,1965573,True,1965573,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965574,1965574,True,1965574,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965662,1965662,True,1965662,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965663,1965663,True,1965663,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965664,1965664,True,1965664,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965665,1965665,True,1965665,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965666,1965666,True,1965666,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965667,1965667,True,1965667,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965703,1965703,True,1965703,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965704,1965704,True,1965704,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965705,1965705,True,1965705,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965706,1965706,True,1965706,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965707,1965707,True,1965707,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965708,1965708,True,1965708,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965709,1965709,True,1965709,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965799,1965799,True,1965799,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965800,1965800,True,1965800,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965801,1965801,True,1965801,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965802,1965802,True,1965802,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965803,1965803,True,1965803,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965854,1965854,True,1965854,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965855,1965855,True,1965855,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965856,1965856,True,1965856,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965857,1965857,True,1965857,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965858,1965858,True,1965858,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,1965859,1965859,True,1965859,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,692,692,True,692,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,694,694,True,694,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,696,696,True,696,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,698,698,True,698,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,699,699,True,699,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,701,701,True,701,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,702,702,True,702,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,703,703,True,703,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,705,705,True,705,1,selected_newest_stable_tiebreak
bart_live_20260911_185819,707,707,True,707,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000422,2000422,True,2000422,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000423,2000423,True,2000423,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000424,2000424,True,2000424,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000425,2000425,True,2000425,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000426,2000426,True,2000426,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000427,2000427,True,2000427,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000492,2000492,True,2000492,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000493,2000493,True,2000493,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000494,2000494,True,2000494,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000495,2000495,True,2000495,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000496,2000496,True,2000496,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000497,2000497,True,2000497,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000498,2000498,True,2000498,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000565,2000565,True,2000565,1,selected_newest_stable_tiebreak
