capture_id,source_path,request_time,station,prediction_count
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\ssan.xml,2026-09-11T16:17:17-07:00,SSAN,13
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\ucty.xml,2026-09-11T16:17:17-07:00,UCTY,9
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\warm.xml,2026-09-11T16:17:18-07:00,WARM,8
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\wcrk.xml,2026-09-11T16:17:17-07:00,WCRK,9
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\wdub.xml,2026-09-11T16:17:17-07:00,WDUB,5
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\woak.xml,2026-09-11T16:17:18-07:00,WOAK,24
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\12th.xml,2026-09-11T18:58:03-07:00,12TH,18
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\16th.xml,2026-09-11T18:58:17-07:00,16TH,23
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\19th.xml,2026-09-11T18:58:17-07:00,19TH,18
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\24th.xml,2026-09-11T18:58:17-07:00,24TH,22
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\antc.xml,2026-09-11T18:58:17-07:00,ANTC,3
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\ashb.xml,2026-09-11T18:58:17-07:00,ASHB,9
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\balb.xml,2026-09-11T18:58:17-07:00,BALB,22
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\bayf.xml,2026-09-11T18:58:17-07:00,BAYF,12
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\bery.xml,2026-09-11T18:58:17-07:00,BERY,3
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\cast.xml,2026-09-11T18:58:17-07:00,CAST,6
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\civc.xml,2026-09-11T18:58:17-07:00,CIVC,23
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\colm.xml,2026-09-11T18:58:17-07:00,COLM,13
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\cols.xml,2026-09-11T18:58:17-07:00,COLS,12
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\conc.xml,2026-09-11T18:58:17-07:00,CONC,10
